SN,Source,Date,Open,High,Low,Adjusted_Close,Monthly_Nominal_GDP_Index,Monthly_Real_GDP_Index,Unemployment_Rate,Federal_Funds_Rate
1412,amazon,2020-08-11,3113.199951,3159.219971,3073.0,3080.669922,21327.147,18728.126,8.4,0.1
1413,amazon,2020-08-12,3108.0,3174.389893,3101.419922,3162.23999,21327.147,18728.126,8.4,0.1
1414,amazon,2020-08-13,3182.98999,3217.52002,3155.0,3161.02002,21327.147,18728.126,8.4,0.1
1415,amazon,2020-08-14,3178.179932,3178.23999,3120.0,3148.02002,21327.147,18728.126,8.4,0.1
1416,amazon,2020-08-17,3173.120117,3194.969971,3154.179932,3182.409912,21327.147,18728.126,8.4,0.1
1417,amazon,2020-08-18,3212.0,3320.0,3205.820068,3312.48999,21327.147,18728.126,8.4,0.1
1418,amazon,2020-08-19,3303.01001,3315.899902,3256.0,3260.47998,21327.147,18728.126,8.4,0.1
1419,amazon,2020-08-20,3252.0,3312.620117,3238.0,3297.370117,21327.147,18728.126,8.4,0.1
1420,amazon,2020-08-21,3295.0,3314.399902,3275.389893,3284.719971,21327.147,18728.126,8.4,0.1
1421,amazon,2020-08-24,3310.149902,3380.320068,3257.560059,3307.459961,21327.147,18728.126,8.4,0.1
1422,amazon,2020-08-25,3294.98999,3357.399902,3267.0,3346.48999,21327.147,18728.126,8.4,0.1
1423,amazon,2020-08-26,3351.110107,3451.73999,3344.570068,3441.850098,21327.147,18728.126,8.4,0.1
1424,amazon,2020-08-27,3450.050049,3453.0,3378.0,3400.0,21327.147,18728.126,8.4,0.1
1425,amazon,2020-08-28,3423.0,3433.370117,3386.5,3401.800049,21327.147,18728.126,8.4,0.1
1426,amazon,2020-08-31,3408.98999,3495.0,3405.0,3450.959961,21327.147,18728.126,8.4,0.1
1427,amazon,2020-09-01,3489.580078,3513.870117,3467.0,3499.120117,21659.509,18963.167,7.9,0.09
1428,amazon,2020-09-02,3547.0,3552.25,3486.689941,3531.449951,21659.509,18963.167,7.9,0.09
1429,amazon,2020-09-03,3485.0,3488.409912,3303.0,3368.0,21659.509,18963.167,7.9,0.09
1430,amazon,2020-09-04,3318.0,3381.5,3111.129883,3294.620117,21659.509,18963.167,7.9,0.09
1431,amazon,2020-09-08,3144.0,3250.850098,3130.0,3149.840088,21659.509,18963.167,7.9,0.09
1432,amazon,2020-09-09,3202.98999,3303.179932,3185.0,3268.610107,21659.509,18963.167,7.9,0.09
1433,amazon,2020-09-10,3307.219971,3349.889893,3170.550049,3175.110107,21659.509,18963.167,7.9,0.09
1434,amazon,2020-09-11,3208.689941,3217.340088,3083.97998,3116.219971,21659.509,18963.167,7.9,0.09
1435,amazon,2020-09-14,3172.939941,3187.389893,3096.0,3102.969971,21659.509,18963.167,7.9,0.09
1436,amazon,2020-09-15,3136.159912,3175.02002,3108.919922,3156.129883,21659.509,18963.167,7.9,0.09
1437,amazon,2020-09-16,3179.98999,3187.23999,3074.149902,3078.100098,21659.509,18963.167,7.9,0.09
1438,amazon,2020-09-17,3009.25,3029.429932,2972.550049,3008.72998,21659.509,18963.167,7.9,0.09
1439,amazon,2020-09-18,3031.73999,3037.800049,2905.540039,2954.909912,21659.509,18963.167,7.9,0.09
1440,amazon,2020-09-21,2906.5,2962.0,2871.0,2960.469971,21659.509,18963.167,7.9,0.09
1441,amazon,2020-09-22,3033.840088,3133.98999,3000.199951,3128.98999,21659.509,18963.167,7.9,0.09
1442,amazon,2020-09-23,3120.429932,3127.0,2992.379883,2999.860107,21659.509,18963.167,7.9,0.09
