DATE,Monthly Nominal GDP Index,Monthly Real GDP Index
2012 - Aug,16274.598,16235.251
2012 - Sep,16365.454,16286.459
2012 - Oct,16336.954,16220.986
2012 - Nov,16406.020,16294.865
2012 - Dec,16518.185,16384.361
2013 - Jan,16677.855,16511.611
2013 - Feb,16577.445,16378.839
2013 - Mar,16631.850,16434.163
2013 - Apr,16647.102,16441.982
2013 - May,16657.779,16431.548
2013 - Jun,16793.772,16519.774
2013 - Jul,16849.882,16554.545
2013 - Aug,16934.364,16618.553
2013 - Sep,16948.958,16611.240
2013 - Oct,17058.356,16684.164
2013 - Nov,17167.752,16748.340
2013 - Dec,17173.234,16705.830
2014 - Jan,17077.250,16602.688
2014 - Feb,17163.175,16683.372
2014 - Mar,17192.418,16676.766
2014 - Apr,17353.259,16798.554
2014 - May,17479.003,16872.920
2014 - Jun,17555.847,16932.937
2014 - Jul,17692.069,17021.562
2014 - Aug,17798.063,17120.389
2014 - Sep,17739.548,17051.989
2014 - Oct,17852.378,17150.036
2014 - Nov,17865.154,17150.773
2014 - Dec,17840.088,17122.896
2015 - Jan,17930.522,17262.783
2015 - Feb,18060.069,17354.798
2015 - Mar,17983.453,17224.323
2015 - Apr,18161.747,17387.295
2015 - May,18177.388,17356.219
2015 - Jun,18241.986,17399.031
2015 - Jul,18275.677,17400.761
2015 - Aug,18286.015,17416.152
2015 - Sep,18359.188,17494.244
2015 - Oct,18357.953,17482.294
2015 - Nov,18291.999,17424.013
2015 - Dec,18346.285,17481.214
2016 - Jan,18398.999,17543.658
2016 - Feb,18364.260,17520.273
2016 - Mar,18512.659,17632.311
2016 - Apr,18602.429,17644.137
2016 - May,18584.117,17593.582
2016 - Jun,18648.305,17617.814
2016 - Jul,18659.540,17626.723
2016 - Aug,18774.473,17739.913
2016 - Sep,18892.364,17806.372
2016 - Oct,18862.312,17733.707
2016 - Nov,18984.163,17838.053
2016 - Dec,19057.648,17865.481
2017 - Jan,19095.951,17852.024
2017 - Feb,19126.739,17863.999
2017 - Mar,19221.892,17950.830
2017 - Apr,19175.937,17873.931
2017 - May,19309.268,17992.208
2017 - Jun,19428.313,18071.032
2017 - Jul,19441.253,18064.297
2017 - Aug,19542.938,18112.877
2017 - Sep,19701.497,18206.251
2017 - Oct,19748.538,18200.242
2017 - Nov,19919.933,18334.867
2017 - Dec,20015.779,18395.167
2018 - Jan,20054.092,18380.119
2018 - Feb,20203.451,18480.570
2018 - Mar,20208.916,18450.050
2018 - Apr,20356.287,18508.580
2018 - May,20497.794,18581.737
2018 - Jun,20556.510,18606.125
2018 - Jul,20612.716,18656.555
2018 - Aug,20707.218,18719.956
2018 - Sep,20741.900,18722.082
2018 - Oct,20812.978,18738.237
2018 - Nov,20795.587,18703.349
2018 - Dec,20849.242,18758.904
2019 - Jan,20976.660,18833.788
2019 - Feb,20998.525,18822.369
2019 - Mar,21064.070,18849.331
2019 - Apr,21190.508,18906.767
2019 - May,21247.999,18935.936
2019 - Jun,21378.837,19043.107
2019 - Jul,21485.756,19098.869
2019 - Aug,21527.176,19125.752
2019 - Sep,21582.584,19167.463
2019 - Oct,21625.200,19158.785
2019 - Nov,21713.212,19230.752
2019 - Dec,21781.184,19256.870
2020 - Jan,21780.339,19218.527
2020 - Feb,21952.380,19366.974
2020 - Mar,20881.376,18383.748
2020 - Apr,18686.420,16573.832
2020 - May,19512.579,17287.580
2020 - Jun,20711.194,18274.322
2020 - Jul,21100.628,18540.136
2020 - Aug,21327.147,18728.126
2020 - Sep,21659.509,18963.167
2020 - Oct,21808.906,19065.896
2020 - Nov,21589.849,18845.337
2020 - Dec,21715.363,18862.114
2021 - Jan,22220.592,19223.782
2021 - Feb,22025.463,18984.738
2021 - Mar,22695.494,19441.084
2021 - Apr,22822.555,19452.942
2021 - May,23081.859,19577.660
2021 - June,23236.388,19603.103
2021 - July,23317.574,19556.881
2021 - Aug,23575.072,19688.831
2021 - Sep,23758.614,19773.111
2021 - Oct,24227.012,20015.406
2021 - Nov,24307.292,19968.689
2021 - Dec,24513.059,20035.548
2022 - Jan,24520.386,19904.597
2022 - Feb,24716.550,19922.919
2022 - Mar,24984.504,19945.754
2022 - Apr,25003.705,19862.899
2022 - May,25240.391,19926.313
2022 - Jun,25501.332,19897.406
2022 - Jul,25472.361,19895.998
2022 - Aug,25865.035,20181.480
2022 - Sep,25834.426,20086.973
2022 - Oct,26046.083,20138.622
2022 - Nov,26226.970,20219.973
2022 - Dec,26140.923,20189.450
2023 - Jan,26485.233,20328.122
2023 - Feb,26534.243,20269.773
2023 - Mar,26569.736,20250.928
2023 - Apr,26680.441,20293.906
2023 - May,26817.612,20405.628
2023 - June,26921.255,20478.49855
2023 - July,27130.346,20590.477
